MS-T-205-6 SANCARGO,兴伟陶瓷,6,,Ceramic plates,13.5寸鱼盘,24pcs/ctn,2CTNS,48pcs,0.066CBM,29.0KGS,58.0KGS,¥6.80,¥326.40,,
MS-T-205-7 SANCARGO,兴伟陶瓷,7,,Ceramic cups,中古杯,60pcs/ctn,6CTNS,360pcs,0.316CBM,22.0KGS,132.0KGS,¥1.50,¥540.00,,
MS-T-205-8 SANCARGO,兴伟陶瓷,8,,Ceramic cups,叠放杯,72pcs/ctn,5CTNS,360pcs,0.346CBM,22.0KGS,110.0KGS,¥1.50,¥540.00,,
MARKS,SHOP#,"ITEM
NO.",DESCRIPTION OF GOODS,,,PACKING,T.CTN,T.QTY,T.CBM,"UNIT
WEIGHT",T.WEIGHT,U.PRICE (RMB),T.AMOUNT,,
MS-T-207-1 SANCARGO,堂圩 翔之浩,1,,Ceramic cups,"新元祥多缤纷希诺杯
190912",48pcs/ctn,5CTNS,240pcs,0.400CBM,19.0KGS,95.0KGS,¥8.20,"¥1,968.00",,
MS-T-207-2 SANCARGO,堂圩 翔之浩,2,,Ceramic cups,雅诚德雅格杯D38,48pcs/ctn,2CTNS,96pcs,0.160CBM,15.0KGS,30.0KGS,¥6.00,¥576.00,,
MS-T-207-3 SANCARGO,堂圩 翔之浩,3,,Ceramic cups,"新元祥多缤纷希诺杯
190912",48pcs/ctn,10CTNS,480pcs,0.800CBM,20.0KGS,200.0KGS,¥8.20,"¥3,936.00",,
MS-T-207-4 SANCARGO,堂圩 翔之浩,4,,Ceramic cups,天美家德大号荣耀杯无盖1802,48pcs/ctn,20CTNS,960pcs,1.800CBM,21.0KGS,420.0KGS,¥8.40,"¥8,064.00",,
MS-T-208-1 SANCARGO,"兴源陶瓷
65042",1,,"Ceramic tableware
set",,2pcs/ctn,5CTNS,10pcs,0.237CBM,18.0KGS,90.0KGS,¥50.00,¥500.00,,
MS-T-208-2 SANCARGO,"兴源陶瓷
65042",2,,"Ceramic tableware
set",,2pcs/ctn,5CTNS,10pcs,0.218CBM,18.0KGS,90.0KGS,¥49.00,¥490.00,,
MS-T-208-3 SANCARGO,"兴源陶瓷
65042",3,,Ceramic plates,,24pcs/ctn,10CTNS,240pcs,0.286CBM,21.0KGS,210.0KGS,¥4.90,"¥1,176.00",,
MS-T-208-4 SANCARGO,"兴源陶瓷
65042",4,,Ceramic plates,,30pcs/ctn,3CTNS,90pcs,0.063CBM,15.0KGS,45.0KGS,¥3.60,¥324.00,,
MS-T-208-5 SANCARGO,"兴源陶瓷
65042",5,,Ceramic  bowls,,36pcs/ctn,3CTNS,108pcs,0.089CBM,18.0KGS,54.0KGS,¥3.60,¥388.80,,
MS-T-208-6 SANCARGO,"兴源陶瓷
65043",6,,Ceramic plates,,24pcs/ctn,20CTNS,480pcs,0.160CBM,27.0KGS,540.0KGS,¥4.90,"¥2,352.00",,
MS-T-208-7 SANCARGO,"兴源陶瓷
65044",7,,"Ceramic tableware
set",,2pcs/ctn,5CTNS,10pcs,0.470CBM,18.0KGS,90.0KGS,¥50.00,¥500.00,,
MS-T-208-8 SANCARGO,"兴源陶瓷
65045",8,,"Ceramic tableware
set",,2pcs/ctn,5CTNS,10pcs,0.470CBM,18.0KGS,90.0KGS,¥49.00,¥490.00,,
MS-T-209-1 SANCARGO,正旺,1,,Ceramic plates,LT079-A,24pcs/ctn,46CTNS,1104pcs,1.408CBM,22.6KGS,1039.6KGS,¥5.50,"¥6,072.00",,
MS-T-209-2 SANCARGO,正旺,2,,Ceramic  bowls,LT079-B,30pcs/ctn,7CTNS,210pcs,0.158CBM,15.4KGS,107.8KGS,¥3.80,¥798.00,,
MS-T-209-3 SANCARGO,正旺,3,,Ceramic  bowls,LT079-C,40pcs/ctn,10CTNS,400pcs,0.425CBM,22.4KGS,224.0KGS,¥3.80,"¥1,520.00",,
MARKS,SHOP#,"ITEM
NO.",DESCRIPTION OF GOODS,,,PACKING,T.CTN,T.QTY,T.CBM,"UNIT
WEIGHT",T.WEIGHT,U.PRICE (RMB),T.AMOUNT,,
MS-T-209-4 SANCARGO,正旺,4,,Ceramic cups,LT079-D,48pcs/ctn,20CTNS,960pcs,0.865CBM,19.2KGS,384.0KGS,¥2.60,"¥2,496.00",,
MS-T-210-1 SANCARGO,顺飞玻璃,1,,Glass casserole dish,9098T -5.4L 煲,4pcs/ctn,5CTNS,20pcs,0.245CBM,15.2KGS,76.0KGS,¥38.00,¥760.00,,
MS-T-210-2 SANCARGO,顺飞玻璃,2,,Glass casserole dish,9097T -3.5L 煲,6pcs/ctn,5CTNS,30pcs,0.265CBM,16.7KGS,83.5KGS,¥30.00,¥900.00,,
MS-T-210-3 SANCARGO,顺飞玻璃,3,,Glass casserole dish,"HMOC-2.8L
椭园煲",6pcs/ctn,5CTNS,30pcs,0.243CBM,15.0KGS,75.0KGS,¥26.50,¥795.00,,
MS-T-210-4 SANCARGO,顺飞玻璃,4,,Glass Jar,"6509-1500ML
竖纹扣瓶",24pcs/ctn,2CTNS,48pcs,0.167CBM,19.2KGS,38.4KGS,¥4.90,¥235.20,,
MS-T-210-5 SANCARGO,顺飞玻璃,5,,Glass Jar,"6504-1000ML
竖纹扣瓶",24pcs/ctn,2CTNS,48pcs,0.128CBM,15.6KGS,31.2KGS,¥4.50,¥216.00,,
MS-T-210-6 SANCARGO,顺飞玻璃,6,,Glass Jar,"6503-750ML
竖纹扣瓶",36pcs/ctn,1CTNS,36pcs,0.079CBM,19.8KGS,19.8KGS,¥3.80,¥136.80,,
MS-T-210-7 SANCARGO,顺飞玻璃,7,,Goblet,"WS-1096
香槟酒杯+蝴蝶花",48pcs/ctn,3CTNS,144pcs,0.230CBM,18.0KGS,54.0KGS,¥7.50,"¥1,080.00",,
MS-T-210-8 SANCARGO,顺飞玻璃,8,,Glass salad bowl,HM-C300沙拉碗,4pcs/ctn,2CTNS,8pcs,0.107CBM,8.0KGS,16.0KGS,¥26.00,¥208.00,,
MS-T-211-1 SANCARGO,万保餐具,1,,Melamine plate,,72pcs/ctn,20CTNS,1440pcs,2.580CBM,25.3KGS,506.0KGS,¥5.50,"¥7,920.00",,
MS-T-211-2 SANCARGO,万保餐具,2,,Melamine plate,,60pcs/ctn,20CTNS,1200pcs,0.840CBM,22.0KGS,440.0KGS,¥4.50,"¥5,400.00",,
MS-T-211-3 SANCARGO,万保餐具,3,,Melamine plate,,200pcs/ctn,5CTNS,1000pcs,0.305CBM,26.5KGS,132.5KGS,¥2.10,"¥2,100.00",,
MS-T-211-4 SANCARGO,万保餐具,4,,Melamine plate,,320pcs/ctn,2CTNS,640pcs,0.091CBM,27.0KGS,54.0KGS,¥1.50,¥960.00,,
MS-T-212-2 SANCARGO,盈隽金属,2,,Cookware,"18*10.5CM 24*7CM
24*13.5CM
26*14.5CM",2pcs/ctn,5CTNS,10pcs,0.376CBM,17.5KGS,87.5KGS,¥161.00,"¥1,610.00",,
MS-T-213-1 SANCARGO,盈隽金属,4,,Cookware,"18*10.5CM
20*11.5CM
24*13.5CM",2pcs/ctn,6CTNS,12pcs,0.390CBM,15.8KGS,94.8KGS,¥156.00,"¥1,872.00",,
MARKS,SHOP#,"ITEM
NO.",DESCRIPTION OF GOODS,,,PACKING,T.CTN,T.QTY,T.CBM,"UNIT
WEIGHT",T.WEIGHT,U.PRICE (RMB),T.AMOUNT,,
MS-T-213-2 SANCARGO,盈隽金属,5,,Cookware,"18*10.5CM 24*7CM
24*13.5CM
26*14.5CM",2pcs/ctn,3CTNS,6pcs,0.226CBM,17.5KGS,52.5KGS,¥161.00,¥966.00,,
MS-T-213-3 SANCARGO,盈隽金属,6,,Cookware,2.5L 16cm 18cm 20cm 24cm 24cm,2pcs/ctn,5CTNS,10pcs,0.384CBM,16.5KGS,82.5KGS,¥189.00,"¥1,890.00",,
MS-T-214-1 SANCARGO,嘉利,1,,"Ceramic plates with
Metal Stand",,6pcs/ctn,5CTNS,30pcs,0.349CBM,19.0KGS,95.0KGS,¥68.00,"¥2,040.00",,
MS-T-214-2 SANCARGO,嘉利,2,,"Ceramic plates with
Metal Stand",,4pcs/ctn,5CTNS,20pcs,0.033CBM,18.0KGS,90.0KGS,¥64.00,"¥1,280.00",,
MS-T-214-3 SANCARGO,嘉利,3,,"Ceramic plates with
Metal Stand",,6pcs/ctn,5CTNS,30pcs,0.338CBM,21.0KGS,105.0KGS,¥76.00,"¥2,280.00",,
MS-T-215-1 SANCARGO,鼎盛,1,,Insulated pot,"桃花四件套保温锅
2.5-5-8-16L",4pcs/ctn,6CTNS,24pcs,0.872CBM,13.5KGS,81.0KGS,¥188.00,"¥4,512.00",,
MS-T-215-2 SANCARGO,鼎盛,2,,Pressure cooker,5L高压锅 三叉,6pcs/ctn,4CTNS,24pcs,0.649CBM,15.3KGS,61.2KGS,¥146.00,"¥3,504.00",,
MS-T-215-3 SANCARGO,鼎盛,3,,Pressure cooker,6L高压锅 三叉,6pcs/ctn,4CTNS,24pcs,0.710CBM,15.5KGS,62.0KGS,¥155.00,"¥3,720.00",,
MS-T-215-4 SANCARGO,鼎盛,4,,Pressure cooker,7L高压锅 三叉,6pcs/ctn,4CTNS,24pcs,0.771CBM,16.0KGS,64.0KGS,¥160.00,"¥3,840.00",,
MS-T-215-5 SANCARGO,鼎盛,5,,Pressure cooker,9L高压锅 三叉,4pcs/ctn,4CTNS,16pcs,0.605CBM,14.5KGS,58.0KGS,¥178.00,"¥2,848.00",,
MS-T-215-6 SANCARGO,鼎盛,6,,Pressure cooker,12L高压锅 三叉,4pcs/ctn,4CTNS,16pcs,0.713CBM,16.0KGS,64.0KGS,¥200.00,"¥3,200.00",,
MS-T-215-7 SANCARGO,鼎盛,7,,Pressure cooker,30L高压锅 三叉,2pcs/ctn,2CTNS,4pcs,0.317CBM,13.5KGS,27.0KGS,¥345.00,"¥1,380.00",,
MS-T-215-9 SANCARGO,鼎盛,9,,Insulated pot,"桃花三件套保温锅
2.5-5-8L",8pcs/ctn,4CTNS,32pcs,0.691CBM,13.5KGS,54.0KGS,¥118.00,"¥3,776.00",,
MS-T-216-1 SANCARGO,鼎盛,1,,Pressure cooker,5L高压锅 三叉,6pcs/ctn,1CTNS,6pcs,0.164CBM,15.3KGS,15.3KGS,¥146.00,¥876.00,,
MS-T-216-2 SANCARGO,鼎盛,2,,Pressure cooker,6L高压锅 三叉,6pcs/ctn,1CTNS,6pcs,0.177CBM,15.5KGS,15.5KGS,¥155.00,¥930.00,,
MARKS,SHOP#,"ITEM
NO.",DESCRIPTION OF GOODS,,,PACKING,T.CTN,T.QTY,T.CBM,"UNIT
WEIGHT",T.WEIGHT,U.PRICE (RMB),T.AMOUNT,,
