MARKS 唛头,SHOP#,ITEM NO.,DESCRIPTION OF GOODS,,,PACKING,T.CTN,T.QTY,H,W,L,UNIT CBM,T.CBM,UNIT WEIGHT,T.WEIGHT,U.PRICE (RMB),T.AMOUNT,BOX .NO,REMMARK
MS-302-1 SANCARGO,东田,1,,Food Mixer,B10B搅拌机,1pcs/ctn,2CTNS,2pcs,60,46,77,0.213CBM,0.425CBM,50.0KGS,100.0KGS,"¥1,450.00","¥2,900.00",,
MS-302-2 SANCARGO,东田,2,,Food Mixer,B20B搅拌机,1pcs/ctn,1CTNS,1pcs,61,51,85,0.264CBM,0.264CBM,67.0KGS,67.0KGS,"¥1,650.00","¥1,650.00",,
MS-302-3 SANCARGO,东田,3,,Food Mixer,B30B搅拌机,1pcs/ctn,1CTNS,1pcs,61,51,99,0.308CBM,0.308CBM,76.0KGS,76.0KGS,"¥2,000.00","¥2,000.00",,
MS-302-4 SANCARGO,东田,4,,Food Mixer,HS-20和面机,1pcs/ctn,2CTNS,2pcs,73,45,100,0.329CBM,0.657CBM,100.0KGS,200.0KGS,"¥2,200.00","¥4,400.00",,
MS-302-5 SANCARGO,东田,5,,Food Mixer,HS-30和面机,1pcs/ctn,2CTNS,2pcs,77,46,100,0.354CBM,0.708CBM,105.0KGS,210.0KGS,"¥2,400.00","¥4,800.00",,
MS-302-6 SANCARGO,东田,6,,Food Mixer,HS40和面机,1pcs/ctn,2CTNS,2pcs,83,54,102,0.457CBM,0.914CBM,130.0KGS,260.0KGS,"¥3,700.00","¥7,400.00",,
MS-302-7 SANCARGO,东田,7,,Popcorn Machine,JY826A爆谷机,1pcs/ctn,27CTNS,27pcs,,,,0.000CBM,3.500CBM,,950.0KGS,¥380.00,"¥10,260.00",,
MS-302-8 SANCARGO,东田,8,,Oven,MFT-12一层二盘电烤炉,1pcs/ctn,2CTNS,2pcs,135,92,60,0.745CBM,1.490CBM,85.0KGS,170.0KGS,"¥1,350.00","¥2,700.00",,
MS-302-10 SANCARGO,东田,10,,Oven,MFT-36三层六盘电烤箱,1pcs/ctn,2CTNS,2pcs,136,93,146,1.847CBM,3.693CBM,200.0KGS,400.0KGS,"¥4,200.00","¥8,400.00",,
MS-302-11 SANCARGO,东田,11,,Oven,MFT-39三层九盘电烤箱,1pcs/ctn,1CTNS,1pcs,180,93,147,2.461CBM,2.461CBM,280.0KGS,280.0KGS,"¥5,720.00","¥5,720.00",,
