MARKS 唛头,SHOP#,ITEM NO.,DESCRIPTION OF GOODS,,,PACKING,T.CTN,T.QTY,H,W,L,UNIT CBM,T.CBM,UNIT WEIGHT,T.WEIGHT,U.PRICE (RMB),T.AMOUNT,BOX .NO,REMMARK
MS-311-12 SANCARGO,洪秀福,12,,Sleepwear,FLS003,,1CTNS,180pcs,45,23,61,0.063CBM,0.063CBM,11.7KGS,11.7KGS,¥9.00,"¥1,620.00",,
MS-311-13 SANCARGO,洪秀福,13,,Sleepwear,HD5145,,1CTNS,120pcs,70,25,62,0.109CBM,0.109CBM,25.2KGS,25.2KGS,¥20.00,"¥2,400.00",,
MS-311-14 SANCARGO,洪秀福,14,,Sleepwear,D3613,,1CTNS,60pcs,53,30,54,0.086CBM,0.086CBM,16.0KGS,16.0KGS,¥21.00,"¥1,260.00",,
MS-311-15 SANCARGO,洪秀福,15,,Sleepwear,FNNS370,,1CTNS,180pcs,77,22,62,0.105CBM,0.105CBM,27.5KGS,27.5KGS,¥10.00,"¥1,800.00",,
MS-311-16 SANCARGO,洪秀福,16,,Sleepwear,H5128,,1CTNS,120pcs,55,20,63,0.069CBM,0.069CBM,18.7KGS,18.7KGS,¥11.00,"¥1,320.00",,
MS-311-17 SANCARGO,洪秀福,17,,Sleepwear,FNN002,,1CTNS,60pcs,55,20,44,0.048CBM,0.048CBM,8.8KGS,8.8KGS,¥14.50,¥870.00,,
MS-311-18 SANCARGO,洪秀福,18,,Sleepwear,D3502,,1CTNS,84pcs,45,30,55,0.074CBM,0.074CBM,11.0KGS,11.0KGS,¥20.00,"¥1,680.00",,
MS-311-18 SANCARGO,洪秀福,18,,Sleepwear,D3502,,1CTNS,96pcs,50,30,55,0.083CBM,0.083CBM,12.5KGS,12.5KGS,¥20.00,"¥1,920.00",,
MS-311-19 SANCARGO,洪秀福,19,,Sleepwear,D3492,,1CTNS,60pcs,43,30,50,0.065CBM,0.065CBM,8.7KGS,8.7KGS,¥20.00,"¥1,200.00",,
MS-312-1 SANCARGO,中羿48282,1,,Shapewear,black,,1CTNS,300pcs,92,35,74,0.238CBM,0.238CBM,29.0KGS,29.0KGS,¥14.50,"¥4,350.00",14-17,
MS-312-2 SANCARGO,中羿48282,2,,Shapewear,black,,1CTNS,240pcs,103,42,108,0.467CBM,0.467CBM,51.0KGS,51.0KGS,¥33.00,"¥7,920.00",,
MS-312-3 SANCARGO,中羿48282,3,,Shapewear,black,,1CTNS,180pcs,53,35,48,0.089CBM,0.089CBM,28.0KGS,28.0KGS,¥49.00,"¥8,820.00",,
MS-312-4 SANCARGO,中羿48282,4,,Shapewear,black,,1CTNS,60pcs,55,36,45,0.089CBM,0.089CBM,29.0KGS,29.0KGS,¥37.50,"¥2,250.00",,
MARKS 唛头,SHOP#,ITEM NO.,DESCRIPTION OF GOODS,,,PACKING,T.CTN,T.QTY,H,W,L,UNIT CBM,T.CBM,UNIT WEIGHT,T.WEIGHT,U.PRICE (RMB),T.AMOUNT,BOX .NO,REMMARK
MS-313-1 SANCARGO,鑫源文胸,1,,Shapewear,,,1CTNS,600pcs,94,90,34,0.288CBM,0.288CBM,79.0KGS,79.0KGS,¥22.00,"¥13,200.00",,
MS-313-2 SANCARGO,鑫源文胸,2,,Shapewear,,,1CTNS,600pcs,94,90,34,0.288CBM,0.288CBM,79.0KGS,79.0KGS,¥15.00,"¥9,000.00",,
MS-313-3 SANCARGO,鑫源文胸,3,,Shapewear,,,1CTNS,600pcs,70,26,83,0.151CBM,0.151CBM,60.0KGS,60.0KGS,¥14.00,"¥8,400.00",,
MS-314-1 SANCARGO,flinra 48807,1,,Shapewear,black,,1CTNS,180pcs,84,37,57,0.177CBM,0.177CBM,34.3KGS,34.3KGS,¥19.80,"¥3,564.00",,
MS-314-2 SANCARGO,flinra 48807,2,,Shapewear,black,200pcs/ctn,2CTNS,400pcs,96,30,95,0.274CBM,0.547CBM,37.0KGS,74.0KGS,¥26.50,"¥10,600.00",,
MS-314-3 SANCARGO,flinra 48807,3,,Shapewear,black,120pcs/ctn,2CTNS,240pcs,80,36,66,0.190CBM,0.380CBM,34.0KGS,68.0KGS,¥27.50,"¥6,600.00",,
MS-314-4 SANCARGO,flinra 48807,4,,Shapewear,black,,1CTNS,180pcs,82,35,57,0.164CBM,0.164CBM,25.0KGS,25.0KGS,¥16.80,"¥3,024.00",,
MS-314-5 SANCARGO,flinra 48807,5,,Boob Tape,,,1CTNS,240pcs,60,40,33,0.079CBM,0.079CBM,23.0KGS,23.0KGS,¥3.50,¥840.00,,
MS-314-6 SANCARGO,flinra 48807,6,,Tape,,,1CTNS,240pcs,58,37,53,0.114CBM,0.114CBM,34.0KGS,34.0KGS,¥6.50,"¥1,560.00",,
MS-314-7 SANCARGO,flinra 48807,7,,Tape,,,1CTNS,240pcs,60,40,70,0.168CBM,0.168CBM,46.0KGS,46.0KGS,¥7.80,"¥1,872.00",,
MOSES,丰锦,,,Safe,保险柜,1pcs/ctn,4CTNS,4pcs,40,46,37,0.068CBM,0.272CBM,28.0KGS,112.0KGS,,¥0.00,,client paiy by himself
MOSES,,,,DHL sending Package,,,,,,,,,,,,,¥460.00,,
,,,,,,,400CTNS,,,,,,85.144CBM,,12781.7KGS,,"¥594,245.00",,
37-T-1 18 CTN GOODS STUFFED INTO THIS CONTAINER(REPACKED GOODS),,,,,,,,,,,,,,,,,,,
37-T-120-10 SANCARGO,龙凤保温瓶,10,,Vacuum Flask,,12pcs/ctn,2CTNS,24pcs,78,46,46,0.165CBM,0.330CBM,12.6KGS,25.1KGS,¥48.00,"¥1,152.00",,Money calculated in this container
37-T-120-3 SANCARGO,龙凤保温瓶,3,,Vacuum Flask,,12pcs/ctn,1CTNS,12pcs,64,49,29,0.091CBM,0.091CBM,10.5KGS,10.5KGS,¥29.50,¥354.00,,
37-T-105-5 SANCARGO,龙凤保温瓶,5,,Vacuum Flask,QB-200-3,12pcs/ctn,2CTNS,24pcs,59,41,30,0.073CBM,0.145CBM,14.9KGS,29.8KGS,¥70.00,"¥1,680.00",,
37-T-120-6 SANCARGO,龙凤保温瓶,6,,Vacuum Flask,,12pcs/ctn,2CTNS,24pcs,68,51,35,0.121CBM,0.243CBM,11.7KGS,23.3KGS,¥43.00,"¥1,032.00",,
37-T-120-7 SANCARGO,龙凤保温瓶,7,,Vacuum Flask,,12pcs/ctn,2CTNS,24pcs,63,48,31.5,0.095CBM,0.191CBM,9.8KGS,19.5KGS,¥50.00,"¥1,200.00",,
37-T-120-5 SANCARGO,龙凤保温瓶,5,,Vacuum Flask,,12pcs/ctn,2CTNS,24pcs,66,50,32,0.106CBM,0.211CBM,11.5KGS,23.0KGS,¥41.00,¥984.00,,
37-T-120-9 SANCARGO,龙凤保温瓶,9,,Vacuum Flask,,12pcs/ctn,1CTNS,12pcs,63.5,48,36,0.110CBM,0.110CBM,10.3KGS,10.3KGS,¥55.00,¥660.00,,
37-T-108-2 SANCARGO,以辰,2,,Vacuum Flask,JKX5000,9pcs/ctn,1CTNS,9pcs,55,55,47,0.142CBM,0.142CBM,23.0KGS,23.0KGS,¥110.00,¥990.00,,
37-T-108-1 SANCARGO,以辰,1,,Vacuum Flask,JK4000,9pcs/ctn,1CTNS,9pcs,53,53,52,0.146CBM,0.146CBM,21.0KGS,21.0KGS,¥100.00,¥900.00,,
37-T-108-3 SANCARGO,以辰,3,,Vacuum Flask,JKX4000,9pcs/ctn,1CTNS,9pcs,53,53,52,0.146CBM,0.146CBM,21.0KGS,21.0KGS,¥100.00,¥900.00,,
MARKS 唛头,SHOP#,ITEM NO.,DESCRIPTION OF GOODS,,,PACKING,T.CTN,T.QTY,H,W,L,UNIT CBM,T.CBM,UNIT WEIGHT,T.WEIGHT,U.PRICE (RMB),T.AMOUNT,BOX .NO,REMMARK
37-T-105-2 SANCARGO,龙凤保温瓶,2,,Vacuum Flask,TF-R100G-1,12pcs/ctn,1CTNS,12pcs,62,47,30,0.087CBM,0.087CBM,10.7KGS,10.7KGS,¥49.00,¥588.00,,
37-T-108-4 SANCARGO,以辰,4,,Vacuum Flask,JK3000,9pcs/ctn,1CTNS,9pcs,51,51,48,0.125CBM,0.125CBM,18.0KGS,18.0KGS,¥95.00,¥855.00,,
37-T-120-8 SANCARGO,龙凤保温瓶,8,,Vacuum Flask,,12pcs/ctn,1CTNS,12pcs,64,48,32,0.098CBM,0.098CBM,9.8KGS,9.8KGS,¥40.00,¥480.00,,
,,,,,,,18CTNS,,,,,,2.065CBM,,244.9KGS,,"¥11,775.00",,
GOODS LEFT IN SANCARGO,,,,,,,,,,,,,,,,,,,
MS-301-24 SANCARGO,新南方,,,Cake Showcase accessories,底座,,3CTNS,,54,78,77,0.324CBM,0.973CBM,24.0KGS,72.0KGS,,,,
MS-301-24 SANCARGO,新南方,,,Cake Showcase accessories,盖板,,12CTNS,,53,73,54,0.209CBM,2.507CBM,34.0KGS,408.0KGS,,,,
MS-301-24 SANCARGO,新南方,,,Cake Showcase accessories,纸箱,,4CTNS,,120,60,80,0.576CBM,2.304CBM,15.0KGS,60.0KGS,,,,
MS-301-12 SANCARGO,新南方,12,,Electric griddle,818 grill,1pcs/ctn,11CTNS,11pcs,60,47,20,0.056CBM,0.620CBM,19.5KGS,214.5KGS,¥240.00,"¥2,640.00",,
MS-301-13 SANCARGO,新南方,13,,Electric griddle,820 grill,1pcs/ctn,5CTNS,5pcs,78,53,20,0.083CBM,0.413CBM,25.1KGS,125.5KGS,¥420.00,"¥2,100.00",,
MS-301-20 SANCARGO,新南方,20,,Meat Dryer,10 layer dryer,1pcs/ctn,1CTNS,1pcs,53,47,48,0.120CBM,0.120CBM,13.0KGS,13.0KGS,¥650.00,¥650.00,,
MS-303-4/5 SANCARGO,俊达,"4,5",,Electric food warmer,配套的 1/1 10cm带 cover,10pcs/ctn,1CTNS,20pcs,56,36,42,0.085CBM,0.085CBM,22.5KGS,22.5KGS,¥0.00,¥0.00,,
MS-303-15 SANCARGO,俊达,15,,Ice maker,ice maker 40kg,1pcs/ctn,1CTNS,1pcs,50,46,68,0.156CBM,0.156CBM,22.5KGS,22.5KGS,"¥1,950.00","¥1,950.00",,
MS-303-16 SANCARGO,俊达,16,,Ice maker,ice maker 50kg,1pcs/ctn,1CTNS,1pcs,46,62,75,0.214CBM,0.214CBM,34.0KGS,34.0KGS,"¥2,150.00","¥2,150.00",,
MS-303-7 SANCARGO,俊达,7,,Salad Bar Display Counter,沙拉台,1pcs/ctn,2CTNS,2pcs,167,46,35,0.269CBM,0.538CBM,47.0KGS,94.0KGS,"¥2,250.00","¥4,500.00",,
MS-305-2 SANCARGO,远航户外,2,,Plastic chairs,YH-8035绿5米白5,4pcs/ctn,2CTNS,8pcs,68,58,53,0.209CBM,0.418CBM,18.0KGS,36.0KGS,¥105.00,¥840.00,,
MS-302-18 SANCARGO,东田,18,,Panini maker,813双头压板扒炉,1pcs/ctn,2CTNS,2pcs,65,45,28,0.082CBM,0.164CBM,26.0KGS,52.0KGS,¥650.00,"¥1,300.00",,
MS-302-19 SANCARGO,东田,19,,Hand Press  Juicer,手压榨汁机1158B款黑色,3pcs/ctn,3CTNS,9pcs,60,30,45,0.081CBM,0.243CBM,20.0KGS,60.0KGS,¥95.00,¥855.00,,
MS-302-15 SANCARGO,东田,15,,Ice Cream Cone Maker,双头雪糕皮机,1pcs/ctn,2CTNS,2pcs,55,41,31,0.070CBM,0.140CBM,11.0KGS,22.0KGS,¥550.00,"¥1,100.00",,
MS-302-28 SANCARGO,东田,28,,Electric Toaster,ETS-4片多士炉,4pcs/ctn,1CTNS,4pcs,67,31,53,0.110CBM,0.110CBM,18.5KGS,18.5KGS,¥280.00,"¥1,120.00",,
MS-302-3 SANCARGO,东田,3,,Food Mixer,B30B搅拌机,1pcs/ctn,1CTNS,1pcs,61,51,99,0.308CBM,0.308CBM,76.0KGS,76.0KGS,"¥2,000.00","¥2,000.00",,
MS-302-23 SANCARGO,东田,23,,Meat grinder,TK-22半钢绞肉机,1pcs/ctn,2CTNS,2pcs,51,38,53,0.103CBM,0.205CBM,27.0KGS,54.0KGS,¥850.00,"¥1,700.00",,
MS-302-27 SANCARGO,东田,27,,Electric  Plate Warming cart,双头暖碟车,1pcs/ctn,1CTNS,1pcs,101,53,100,0.535CBM,0.535CBM,60.0KGS,60.0KGS,"¥2,100.00","¥2,100.00",,
MS-302-22 SANCARGO,东田,22,,Meat grinder,,1pcs/ctn,2CTNS,2pcs,45,33,45,0.067CBM,0.134CBM,20.0KGS,40.0KGS,¥550.00,"¥1,100.00",,
MARKS 唛头,SHOP#,ITEM NO.,DESCRIPTION OF GOODS,,,PACKING,T.CTN,T.QTY,H,W,L,UNIT CBM,T.CBM,UNIT WEIGHT,T.WEIGHT,U.PRICE (RMB),T.AMOUNT,BOX .NO,REMMARK
MS-302-21 SANCARGO,东田,21,,Meat grinder,TK-8半钢绞肉机,1pcs/ctn,1CTNS,1pcs,37,25,40,0.037CBM,0.037CBM,12.0KGS,12.0KGS,¥390.00,¥390.00,,
MS-302-9 SANCARGO,东田,9,,Oven,MFT-11一层一盘电烤炉,1pcs/ctn,5CTNS,5pcs,101,46,66,0.307CBM,1.533CBM,47.0KGS,235.0KGS,¥900.00,"¥4,500.00",,
,,,,,,,63CTNS,,,,,,11.7575CBM,,1731.5KGS,,"¥30,995.00",,
TOTAL WEIGHT,,,,13027,KGS,reduce 81ctn,,,,,,,,,,,,,
TOTAL CBM,,,,87.2,CBM,,,,,,,,,,,,,,
TOTAL CARTON,,,,418,CTN,,,,,,,,,,,,,,
TOTAL COST,,,,"￥637,015",RMB,"$93,679",USD,"reduce details : 66 ctn (all underware,(60CTN underware in this container , 6ctn underware in MAG-5)) MS301-8*5CTN
MS301-10*2CTN MS303-6*8CTN",,,,,,,,,,,
26/03/2026 PAYMENT PAID IN CHINA,,,,,,"$10,000",USD,,,,,,,,,,,,
GOODS BALANCE,,,,,,"$83,679",USD,,,,,,,,,,,,
CREDIT SUPPORT TO MOMBASA,,,,,,"$1,674",USD,,,,,,,,,,,,
PIVOC,,,,,,$750,USD,,,,,,,,,,,,
YIWU-MOMBASA FREIGHT,,,,,,"$5,300",USD,,,,,,,,,,,,
TOTAL BALANCE,,,,,,"$91,402",USD,,,,,,,EXCHANGE RATE,,¥68.00,,,
Balance Payment Terms and Conditions,,,,,,,,,,,,,,,,,,,
"if outstanding balance is not paid within Five days(5)days after vessel arrival Mombasa, a 0.2% per day payment delay surcharge will be  charged",,,,,,,,,,,,,,,,,,,
"if outstanding balance is not paid within fifteen days(15)days after vessel arrival Mombasa, a 0.3% per day payment delay surcharge will be charged",,,,,,,,,,,,,,,,,,,
13/04/2026 PAYMENT,,,,,,"$20,000",USD,,,,,,,,,,,,
10/04/2027 PAYMENT,,,,,,"$5,574",USD,,,,,,,,,,,,
15/04/2028 PAYMENT,,,,,,"$14,000",USD,,,,,,,,,,,,
current balance,,,,,,"$51,828",USD,,,,,,,,,,,,
