Table 1
CLIENT DETAILS :   MOSES. MS-6                                                                      CONTAINER NO:MRSU9802805,,,,,,,,,,,,,,,
ITEM NO., DESCRIPTION OF GOODS,,,PACKING,T.CTN,T.QTY,H,W,L,UNIT CBM,T.CBM,"UNIT
WEIGHT",T.WEIGHT,U.PRICE (RMB),T.AMOUNT
,,,,,,,,,,,,,,,
NEW ORDER,,,,,,,,,,,,,,,
102,,knife,"Chef knife 8""
12pcs/inner box,unit:pcs
32cm
2Cr14 +430 s.s.",72pcs/ctn,3CTNS,216pcs,40,30,36,0.043CBM,0.130CBM,11.7KGS,35.1KGS,CN¥6.70,"CN¥1,447.20"
103,, knife,"Carving knife 8""
12pcs/inner box,unit:pcs
32.5cm
2Cr14 +430 s.s.",72pcs/ctn,3CTNS,216pcs,40,30,37,0.044CBM,0.133CBM,10.4KGS,31.2KGS,CN¥6.20,"CN¥1,339.20"
104,,Casserole,"1.2Lceramic casserole
1set/color box,unit:set(2pcs)
18*9cm
width including handles 23cm
Porcelain",16pcs/ctn,10CTNS,160pcs,40,38.5,44.5,0.069CBM,0.685CBM,18.0KGS,180.0KGS,CN¥16.50,"CN¥2,640.00"
105,,Mug,"350ml Mug
18pcs/Display box,unit:pcs
8.9*10.5cm 315.6g
Porcelain",36pcs/ctn,20CTNS,720pcs,37,29,46,0.049CBM,0.987CBM,12.0KGS,240.0KGS,CN¥4.00,"CN¥2,880.00"
106,, Glass bottle,"500ml Glass bottle
12pcs/display box 
Unit:Pcs",24pcs/ctn,5CTNS,120pcs,48.5,32,28,0.043CBM,0.217CBM,9.0KGS,45.0KGS,CN¥3.90,CN¥468.00
107,,Tea pot,"550ml tea pot
1pcs/color box;unit:pcs
16*7.5*10cm,434g
porcelain",36pcs/ctn,5CTNS,180pcs,51.5,47.5,40.8,0.100CBM,0.499CBM,19.0KGS,95.0KGS,CN¥11.00,"CN¥1,980.00"
108,,Mug,"370ml  mug
12pcs/inner box;unit:pcs
8*8*9cm,364g
porcelain",48pcs/ctn,50CTNS,2400pcs,49.5,32,46,0.073CBM,3.643CBM,20.3KGS,1015.0KGS,CN¥3.80,"CN¥9,120.00"
109,,Cake bowl ,"86ml Cake bowl 5pcs set
1set/display box,unit:pcs
⌀:7.5cm  H:4cm 470g
Porcelain",36pcs/ctn,5CTNS,180pcs,52,42,28.5,0.062CBM,0.311CBM,19.0KGS,95.0KGS,CN¥5.50,CN¥990.00
110,, Soup Pot,"6Pcs Set Soup Pot
2.5L+1.5L+1L
21*17*7cm，803g
25*21*8cm，1250g
28.5*23.5*10cm，1755g
Procelain",6pcs/ctn,50CTNS,300pcs,39.5,24.5,49,0.047CBM,2.371CBM,24.0KGS,1200.0KGS,CN¥38.00,"CN¥11,400.00"
111,,Dinner Plate,"10""dinner plate
6pcs/inner box,unit:pcs
25*25*3cm 900g
Porcelain",18pcs/ctn,9CTNS,162pcs,37.7,28.5,29,0.031CBM,0.280CBM,15.0KGS,135.0KGS,CN¥13.50,"CN¥2,187.00"
112,,Dinner Plate,"10""dinner plate
6pcs/inner box,unit:pcs
25*25*3cm 900g
Porcelain",18pcs/ctn,10CTNS,180pcs,38,28.5,29.5,0.032CBM,0.319CBM,15.0KGS,150.0KGS,CN¥13.50,"CN¥2,430.00"
113,,Cup&Saucer ,"250ml cup&saucer
6pcs/inner box;unit:pcs
8.7*6cm &12cm,369g
porcelain",8pcs/ctn,10CTNS,80pcs,57,30,29,0.050CBM,0.496CBM,20.4KGS,203.8KGS,CN¥33.00,"CN¥2,640.00"
114,,Mug,"300ml mug
12pcs/display box, Unit:pcs
11*8*9 cm,343g
porcelain",48pcs/ctn,20CTNS,960pcs,47.5,28,41,0.055CBM,1.091CBM,18.6KGS,371.2KGS,CN¥3.80,"CN¥3,648.00"
115,,Mug,"350ml mug
12pcs/inner box, Unit:pcs
11*8.4*10.5cm,322g
porcelain",48pcs/ctn,10CTNS,480pcs,47,28,45,0.059CBM,0.592CBM,17.6KGS,176.0KGS,CN¥3.80,"CN¥1,824.00"
116,,Cup&Saucer ,"260ml cup&saucer
6 cup &6 saucer /color box,unit:set
9.5*9.5*5.5cm &14cm,312g
porcelain",8pcs/ctn,10CTNS,80pcs,61,33,30,0.060CBM,0.604CBM,18.9KGS,189.0KGS,CN¥33.00,"CN¥2,640.00"
117,,Dessert set,"14.5 Dessert set
2.8""dish*3pcs with 1pcs tray
1set/color box,unit:set
Dish:7.3*7.3*6.3cm
Tray:36.8*12.4*1.3cm,912g
porcelain",18pcs/ctn,5CTNS,90pcs,54,38.5,42,0.087CBM,0.437CBM,21.8KGS,109.0KGS,CN¥15.50,"CN¥1,395.00"
118,,plate,"13""rectangular plate
3pcs/inner box;unit:pcs
33*21cm,1015g
porcelain",18pcs/ctn,20CTNS,360pcs,44,37.5,25,0.041CBM,0.825CBM,23.0KGS,460.0KGS,CN¥11.00,"CN¥3,960.00"
119,,Knife,"Dinner Knife 6pcs
25set/inner box
22.5cm 55g 3.8mm
Unit:CARD   
 410S.S.",100pcs/ctn,2CTNS,200pcs,49,27.5,22,0.030CBM,0.059CBM,33.8KGS,67.6KGS,CN¥10.90,"CN¥2,180.00"
120,,Fork,"Dinner Fork 6pcs
25set/inner box 
20.8cm 35g 2.1mm
Unit:CARD    
410S.S.",100pcs/ctn,2CTNS,200pcs,49,27.5,22,0.030CBM,0.059CBM,25.0KGS,50.0KGS,CN¥7.60,"CN¥1,520.00"
121,,Spoon,"Dinner Spoon 6pcs 
25set/inner box
21.5cm 45g 2.1mm
Unit:CARD    
410S.S.",100pcs/ctn,2CTNS,200pcs,49,27.5,22,0.030CBM,0.059CBM,30.0KGS,60.0KGS,CN¥7.60,"CN¥1,520.00"
122,,Spoon,"Dessert Spoon 6pcs
25set/inner box
15.7cm 20g 2.0mm   Unit:CARD  
  410S.S.",150pcs/ctn,2CTNS,300pcs,42,22,30,0.028CBM,0.055CBM,24.0KGS,48.0KGS,CN¥6.30,"CN¥1,890.00"
,,DEPOSIT PAID BY CLIENT,,,,,,,,,,,,,"CN¥-34,477.50"
,,,,,,,,,,,,,,,
,,,,,1237CTNS,,,,,,68.058CBM,,19212.5KGS,,"CN¥248,076.20"
GOODS LEFT BEHIND,,,,,,,,,,,,,,,
1,, tea pot,"800ml tea pot
1pcs/color box;unit:pcs
16*7.5*10cm,434g
porcelain",24pcs/ctn,10CTNS,240pcs,55,36,41,0.081CBM,0.812CBM,17.0KGS,169.5KGS,CN¥12.00,"CN¥2,880.00"
2,,plate,"10.6"" Plate
6pcs/inner box,unit:pcs
26.9*26.9*3cm,725g
Porcelain",24pcs/ctn,10CTNS,240pcs,36.5,30,29,0.032CBM,0.318CBM,18.3KGS,183.0KGS,CN¥8.00,"CN¥1,920.00"
3,,Mug,"400ml  mug
12pcs/inner box;unit:pcs
8*8*9cm,316g
porcelain",48pcs/ctn,10CTNS,480pcs,48,29,47,0.065CBM,0.654CBM,18.0KGS,180.0KGS,CN¥3.50,"CN¥1,680.00"
4,,bowl ,"9""Serving Bowl
3pcs/inner box, Unit:Pcs
25*10cm",12pcs/ctn,5CTNS,60pcs,54,34.5,27,0.050CBM,0.252CBM,11.0KGS,55.0KGS,CN¥16.00,CN¥960.00
5,,Grater,"Grater
Unit:PCS
12.5*12.5*24.5cm
S.S.",48pcs/ctn,10CTNS,480pcs,48,38.5,50.5,0.093CBM,0.933CBM,18.0KGS,180.0KGS,CN¥12.00,"CN¥5,760.00"
6,,Bakeware,"13""Bakeware
6pcs/display box,unit:pcs
33.5*23.5*7.5cm 2124g
Porcelain",6pcs/ctn,10CTNS,60pcs,48.5,35,26.5,0.045CBM,0.450CBM,14.0KGS,140.0KGS,CN¥20.00,"CN¥1,200.00"
7,,Bakeware,"9.8""Bakeware
6pcs/display box,unit:pcs
25*17*6cm 1027g
Porcelain",6pcs/ctn,5CTNS,30pcs,41.5,27,20,0.022CBM,0.112CBM,8.0KGS,40.0KGS,CN¥11.00,CN¥330.00
8,,Bakeware,"13""Bakeware
6pcs/display box,unit:pcs
32*20.3*5.8cm 1153g
Porcelain",6pcs/ctn,15CTNS,90pcs,41,33,23,0.031CBM,0.467CBM,9.1KGS,135.8KGS,CN¥19.00,"CN¥1,710.00"
9,,Bakeware,"10""Bakeware
6pcs/display box,unit:pcs
24*16*5.8cm，847g
Porcelain",6pcs/ctn,5CTNS,30pcs,18,25,41.5,0.019CBM,0.093CBM,6.6KGS,33.0KGS,CN¥9.00,CN¥270.00
10,,Cake Mould,"Cake Mould
Unit:PCS
29*29*5.5cm
Silicone",48pcs/ctn,5CTNS,240pcs,63,53,39,0.130CBM,0.651CBM,12.0KGS,60.0KGS,CN¥7.80,"CN¥1,872.00"
11,, Baking Pan,"3L  Baking Pan
39.3*23.6*5.2cm
color card,1670g ,unit:Pcs
Glass",12pcs/ctn,10CTNS,120pcs,49,40,37,0.073CBM,0.725CBM,17.8KGS,178.0KGS,CN¥19.80,"CN¥2,376.00"
12,, Baking Pan,"3L Baking Pan
35*24.2*6.5cm
color card,1360g ,unit:Pcs
Glass",12pcs/ctn,10CTNS,120pcs,50,35.5,43.5,0.077CBM,0.772CBM,17.6KGS,176.0KGS,CN¥13.00,"CN¥1,560.00"
13,, Glass Casserole,"2800ml Glass Casserole
31*21.5*7.8cm
1980g",12pcs/ctn,20CTNS,240pcs,65,46.5,33,0.100CBM,1.995CBM,25.5KGS,509.0KGS,CN¥23.20,"CN¥5,568.00"
14,,Seasoning jar,"Seasoning jar
7pcs/set :unit:set
jar:10*7cm
wood:35*12*1.7cm1236g
Porcelian",12pcs/ctn,5CTNS,60pcs,53.5,36.5,30.5,0.060CBM,0.298CBM,17.1KGS,85.5KGS,CN¥24.00,"CN¥1,440.00"
15,,sugar container,"3.75''sugar container
6pcs/inner box;unit:pcs
9.5*6.5*4.5cm,159g
porcelain",108pcs/ctn,3CTNS,324pcs,58,33,26,0.050CBM,0.149CBM,18.7KGS,56.1KGS,CN¥3.80,"CN¥1,231.20"
16,,bowl ,"9“Bowl
3pcs/inner box;unit:pcs
23*23*6.5cm,624g
porcelain",24pcs/ctn,5CTNS,120pcs,48,46,25,0.055CBM,0.276CBM,17.4KGS,87.0KGS,CN¥7.20,CN¥864.00
17,,canister set,"3 pcs canister set
color box Unit:set
9.8*16cmH 1000ml
9.8*13mH 850ml
9.8*10cmH 650 ml
wood base
high borosilicate glass, bamboo ,silicone",8pcs/ctn,10CTNS,80pcs,52.4,36,38.9,0.073CBM,0.734CBM,0.0KGS,0.0KGS,CN¥33.00,"CN¥2,640.00"
18,,Ironing board,"Ironing board
1385*360*820mm
5kg",4pcs/ctn,10CTNS,40pcs,140,30,44,0.185CBM,1.848CBM,22.0KGS,220.0KGS,CN¥122.00,"CN¥4,880.00"
19,,Mug,"480ml Mug
18pcs/Display box,unit:pcs
9*10.1cm 355g
Porcelain",36pcs/ctn,12CTNS,432pcs,44,31,39,0.053CBM,0.638CBM,15.0KGS,180.0KGS,CN¥3.90,"CN¥1,684.80"
20,,Ceramic casserole ,"3L Ceramic casserole 
1set/color box,unit:set(2pcs)
24*11cm,2290g
Porcelain",6pcs/ctn,10CTNS,60pcs,50.5,40.5,28.5,0.058CBM,0.583CBM,15.0KGS,150.0KGS,CN¥28.00,"CN¥1,680.00"
21,,garlic press,"garlic press
12.7cm 
304# s.s.",18pcs/ctn,2CTNS,36pcs,43,43,52.5,0.097CBM,0.194CBM,34.0KGS,68.0KGS,CN¥37.50,"CN¥1,350.00"
22,,garlic press,"garlic press
10cm 
304# s.s.",24pcs/ctn,3CTNS,72pcs,59.5,43,35.5,0.091CBM,0.272CBM,33.3KGS,99.8KGS,CN¥29.50,"CN¥2,124.00"
23,,Dinner Plate,"9.5""dinner plate
6pcs/inner box,  Unit:Pcs
24.3*2cm",36pcs/ctn,20CTNS,720pcs,36,26.5,28.5,0.027CBM,0.544CBM,14.5KGS,290.0KGS,CN¥3.60,"CN¥2,592.00"
24,,Dinner Plate,"10.5""dinner plate
6pcs/inner box,  Unit:Pcs
26.5*2.6cm",36pcs/ctn,50CTNS,1800pcs,39.5,29,29,0.033CBM,1.661CBM,17.5KGS,875.0KGS,CN¥3.80,"CN¥6,840.00"
25,,bowl ,"8""Serving Bowl
6pcs/inner box,  Unit:Pcs
20x7.5cm
Opal Glass",24pcs/ctn,4CTNS,96pcs,52,44,23,0.053CBM,0.210CBM,13.0KGS,52.0KGS,CN¥5.00,CN¥480.00
26,,Bread Box,"Bread Box-White
Unit:PCS
35.5*21.5*20.5cm
Iron+ Acacia Wood",4pcs/ctn,5CTNS,20pcs,45,36,47,0.076CBM,0.381CBM,7.0KGS,35.0KGS,CN¥46.00,CN¥920.00
27,,Bread Box,"Bread Box-Black
Unit:PCS
35.5*21.5*20.5cm
Iron+ Acacia Wood",4pcs/ctn,5CTNS,20pcs,45,36,47,0.076CBM,0.381CBM,7.0KGS,35.0KGS,CN¥46.00,CN¥920.00
28,,Glass storage jar,"Glass storage jar
1pcs/color box, Unit:Pcs
8.9*36.4*12cm",6pcs/ctn,5CTNS,30pcs,0,0,0,0.000CBM,0.000CBM,0.0KGS,0.0KGS,CN¥30.00,CN¥900.00
29,,Glass waterJug,"Glass waterJug
1pcs/color box,Unit:pcs
8.8*15.8*24cm
1280ml",12pcs/ctn,5CTNS,60pcs,45,44,26.5,0.052CBM,0.262CBM,10.2KGS,51.0KGS,CN¥9.60,CN¥576.00
30,, tea pot,"5pcs Tea Pot Set
1 set/color box Unit:set
pot:1475ml*1pcs
 cup:400ml*4pcs
Borosilicate with SS cover",8pcs/ctn,5CTNS,40pcs,45,40,57,0.103CBM,0.513CBM,9.0KGS,45.0KGS,CN¥22.00,CN¥880.00
31,,Storage jar,"Storage jar
TEA/COFFEE/SUGER mix
1pcs/brown box, Unit:pcs
8.8*10.5*14cm 1100ml",12pcs/ctn,5CTNS,60pcs,0,0,0,0.000CBM,0.000CBM,0.0KGS,0.0KGS,CN¥48.00,"CN¥2,880.00"
32,,Storage jar,"Storage jar
TEA/COFFEE/SUGER mix
1pcs/brown box, Unit:pcs
6.4*9.9*15.4cm 550ml",12pcs/ctn,5CTNS,60pcs,0,0,0,0.000CBM,0.000CBM,0.0KGS,0.0KGS,CN¥40.00,"CN¥2,400.00"
33,,Glass storage jar,"Glass storage jar
3pcs/color box ,Unit:set
750ml 10*12.7cm",8pcs/ctn,5CTNS,40pcs,44,39,28,0.048CBM,0.240CBM,10.0KGS,50.0KGS,CN¥29.00,"CN¥1,160.00"
34,,Storage jar,"1400ml storage jar
with spoon Unit:pcs
10*10*H17.5cm 
glass",36pcs/ctn,7CTNS,252pcs,44.5,40.5,58,0.105CBM,0.732CBM,16.5KGS,115.5KGS,CN¥11.50,"CN¥2,898.00"
35,,Cup&Saucer ,"160ml cup&saucer
6set/color box;unit:set
7*8cm &14cm,405g
porcelain",8pcs/ctn,10CTNS,80pcs,60,38,28,0.064CBM,0.638CBM,21.0KGS,210.0KGS,CN¥39.00,"CN¥3,120.00"
36,,Vacuum Cup ,"Vacuum Cup 500ml Black
Unit:PCS
8.8*17cm,312g
S.S. With Ceramic lining",25pcs/ctn,4CTNS,100pcs,48,48,18.5,0.043CBM,0.170CBM,10.5KGS,42.0KGS,CN¥29.90,"CN¥2,990.00"
37,,Drying rack,"Drying rack
·18m total drying space
1565*620*2000mm
Pipe diameter:19/10MM
·Will hold upto 15kg of wet washing
Material:Powder coated iron tube and wires/PP plastic",4pcs/ctn,10CTNS,40pcs,111,35,65.5,0.254CBM,2.545CBM,17.0KGS,170.0KGS,CN¥81.40,"CN¥3,256.00"
38,,Knife Set ,"Knife Set 3pcs
12set/inner box,Unit:SET
21cm;24.5cm;30.5cm
2Cr14 s.s+ABS",72pcs/ctn,5CTNS,360pcs,42,39,41,0.067CBM,0.336CBM,14.4KGS,72.0KGS,CN¥12.90,"CN¥4,644.00"
39,,knife,"Utility knife 5""
24pcs/inner box,unit:pcs
23cm
2Cr14 +430 s.s.",144pcs/ctn,1CTNS,144pcs,50,31,28,0.043CBM,0.043CBM,9.5KGS,9.5KGS,CN¥4.10,CN¥590.40
40,,knife,"Bread knife 8""
12pcs/inner box,unit:pcs
33cm
2Cr14 +430 s.s.",72pcs/ctn,2CTNS,144pcs,40,36,29.5,0.042CBM,0.085CBM,10.0KGS,20.0KGS,CN¥6.00,CN¥864.00
41,,Mug,"""350ml  mug
12pcs/inner box;unit:pcs
8*8*9cm,298g
porcelain",48pcs/ctn,30CTNS,1440pcs,48,29.5,46,0.065CBM,1.954CBM,16.3KGS,487.5KGS,CN¥3.60,"CN¥5,184.00"
,,,,,,,,,,,,,,,
,,,,,368CTNS,,,,,,23.922CBM,,5545.1KGS,,"CN¥90,074.40"
TOTAL WEIGHT,,19212,KGS,,,,,,,,,,,,
TOTAL CBM,,248076.2,CBM,,,,,,,,,,,,
TOTAL CARTON,,1237,CTN,,,,,,,,,,,,
TOTAL COST,,"CN¥338,150.60",RMB,"US$50,245",USD,,,,,,,,,,
GOODS BALANCE,,,,"US$50,245",USD,,,,,,,,,,
CREDIT SUPPORT TO MOMBASA,,,,"US$1,005",USD,,,,,,,,,,
PIVOC,,,,US$750,USD,,,,,,,,,,
YIWU-MOMBASA FREIGHT,,,,"US$5,500",USD,,,,,,,,,,
TOTAL BALANCE,,,,"US$57,500",USD,,,,,,,EXCHANGE RATE,,6.73RMB/USD,
Balance Payment Terms and Conditions,,,,,,,,,,,,,,,
"if outstanding balance is not paid within Five days(5)days after vessel arrival Mombasa, a 0.2% per day payment delay surcharge will be  charged",,,,,,,,,,,,,,,
"if outstanding balance is not paid within fifteen days(15)days after vessel arrival Mombasa, a 0.3% per day payment delay surcharge will be charged",,,,,,,,,,,,,,,
