NO：C25-6083,,,,义乌市佰世威厨具有限公司销售单,,,,,,,,,,,,,,,,,,
客户：C707-CG,,,,,,,,,,,,,销售日期：2026-03-15,,,,,,,,,
备用电话：,,,,,,,,,,,,,送货日期：,,,,,,,,,
送货地址：,,,,,,,,,,,,,,,,,,,,,,
"NO.
序号","DATE
订单日期","ORD NO.
销售单号","CUS NO.
客户货号","ITEM NO.
产品货号","PHOTO
图片1","PHOTO2
图片1","DES.
描述","CTN
总箱数","QTY
每箱数量","T.QTY
总数量","U/P
单价","AMOUNT
金额","L
长","W
宽","H
高","CBM
体积","G.W.
重量","T.T.CBM
总体积","T.T.KGS
总重量","CODE
条形码","REK
备注","W.H.
仓位"
81,2026-03-15,C25- 6083,,VF014C,,,"Vacuum Jug- 1.3L
Color
box,Unit:PCS",5,12,60,47,2820,0,0,0,0.00,0,0.00,0,6667202133550,,浦江仓
82,2026-03-15,C25- 6083,,CPK-051,,,"3-Tier cake tray 4pcs/color
box,unit:set
stand:47.3*22.5*",10,2,20,100,2000,59,28,26,0.04,10,0.43,100,6665202102033,,浦江仓
83,2026-03-15,C25- 6083,,BW20- 109/6C,,,"250ml cup&saucer 6pcs/inner
box;unit:pcs",10,8,80,33,2640,57,30,29,0.05,20.384,0.50,203.8,6665202101616,,浦江仓
84,2026-03-15,C25- 6083,,BW20- 121/6C,,,"90ml cup&saucer
6 cup &6 saucer
/color",5,12,60,25,1500,50,38,24,0.05,17.2,0.23,86,6665202112162,,浦江仓
85,2026-03-15,C25- 6083,,BW20-123,,,"300ml mug 12pcs/display box, Unit:pcs
11*8*9 cm,343g",20,48,960,3.8,3648,47.5,28,41,0.05,18.56,1.09,371.2,6665202112186,,3仓
86,2026-03-15,C25- 6083,,CPK-054,,,"480ml Mug 18pcs/Display box,unit:pcs
9*10.1cm 355g",20,36,720,3.9,2808,44,31,39,0.05,15,1.06,300,6665202102064,,浦江仓
87,2026-03-15,C25- 6083,,CPK-019,,,"3L Ceramic casserole 1set/color
box,unit:set(2pc",10,6,60,28,1680,50.5,40.5,28.5,0.06,15,0.58,150,6665202101968,,浦江仓
88,2026-03-15,C25- 6083,,MUG 2012#-1,,,"400ml Mug  egg packing;unit:pcs
φ",10,48,480,3.8,1824,39.8,28,44.7,0.05,15.2,0.50,152,6665202089051,,浦江仓
89,2026-03-15,C25- 6083,,MUG 2012#-2,,,"350ml Mug egg
packing;unit:pcs
φ",10,48,480,3.8,1824,41,27.5,41.5,0.05,15.74,0.47,157.4,6665202089075,,浦江仓
90,2026-03-15,C25- 6083,,SS48-04,,,garlic press 15cm 304# s.s.,5,12,60,44.5,2670,51,41,38.5,0.08,31,0.40,155,6912024133470,,浦江仓
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
122,2026-03-15,C25- 6083,,CB-123,,,"Glass cup 2pcs/color box
,Unit:Box
6.4*25.2*7cm",5,12,60,24,1440,52,36.8,30.7,0.06,5.3,0.29,26.5,6663212163235,,浦江仓
123,2026-03-15,C25- 6083,,CB-122,,,"Glass cup 2pcs/color box
,Unit:Box
9.2*21.4*7.4cm",5,12,60,25,1500,41,31.5,47.5,0.06,6,0.31,30,6663212163228,,浦江仓
124,2026-03-15,C25- 6083,,CB-125,,,"Glass cup 2pcs/color box
,Unit:Box
8.4*12.1*5cm",5,12,60,21,1260,30.5,37.5,29,0.03,7.3,0.17,36.5,6663212163259,,浦江仓
125,2026-03-15,C25- 6083,,CB-248,,,"Storage jar TEA/COFFEE/SU
GER mix
1pcs/brown",5,12,60,48,2880,0,0,0,0.00,0,0.00,0,6912024150866,,浦江仓
126,2026-03-15,C25- 6083,,CB-247,,,"Storage jar TEA/COFFEE/SU
GER mix
1pcs/brown",5,12,60,40,2400,0,0,0,0.00,0,0.00,0,6912024150859,,浦江仓
127,2026-03-15,C25- 6083,,1988-73,,,"Glass storage jar 3pcs/color box
,Unit:set
750ml",10,8,80,29,2320,46,34,29,0.05,8.05,0.45,80.5,6919880715031,,东阳仓
128,2026-03-15,C25- 6083,,1966-73,,,"Glass storage jar 3pcs/color box
,Unit:set
750ml",5,8,40,29,1160,44,39,28,0.05,10,0.24,50,6923814966734,,浦江仓
129,2026-03-15,C25- 6083,,1966-72,,,"Glass storage jar 3pcs/color box
,Unit:set
750ml",5,8,40,29,1160,46,34,29,0.05,9,0.23,45,6923814966727,,浦江仓
130,2026-03-15,C25- 6083,,1966-114,,,"1400ml Glass storage jar
Egg packing
Unit:pcs",15,24,360,10.2,3672,43,32,47,0.06,11.3,0.97,169.5,6912024149952,,东阳仓
131,2026-03-15,C25- 6083,,1966-113,,,"1000ml Glass storage jar Egg packing
Unit:pcs",10,36,360,9.2,3312,62.5,36,32,0.07,13.5,0.72,135,6912024149945,,东阳仓
132,2026-03-15,C25- 6083,,1966-112,,,"700ml Glass storage jar Egg packing
Unit:pcs",5,48,240,8.9,2136,43,43,39.5,0.07,14,0.37,70,6912024149938,,浦江仓
133,2026-03-15,C25- 6083,,1966-74S,,,"1900ml storage jar
with spoon
Unit:pcs",15,24,360,12,4320,44,40.5,51,0.09,14,1.36,210,6912024132558,,浦江仓
134,2026-03-15,C25- 6083,,1966-75S,,,"1400ml storage jar
with spoon
Unit:pcs",10,36,360,11.5,4140,44.5,40.5,58,0.10,16.5,1.05,165,6912024132541,,浦江仓
135,2026-03-15,C25- 6083,,1966-76S,,,"1100ml storage jar
with spoon
Unit:pcs",5,36,180,11,1980,44.5,40,48,0.09,14.5,0.43,72.5,6912024132534,,浦江仓
136,2026-03-15,C25- 6083,,SD-042,,,"3.1L Drinks Dispense 8set/color box
Unit:set",5,2,10,68,680,39.3,37.3,44,0.06,13.5,0.32,67.5,6912024152983,,东阳仓
137,2026-03-15,C25- 6083,,BW008-3,,,"8""dessert plate 6pcs/inner
box;unit:pcs
20*20cm,469g",10,48,480,4.2,2016,45.5,33,23.7,0.04,22,0.36,220,6665202015494,,浦江仓
138,2026-03-15,C25- 6083,,BW008-1,,,"10""dinner plate 6pcs/inner box;unit:pcs
25*25cm,912g",16,24,384,7.2,2764.8,36,29,30,0.03,19,0.50,304,6665202015470,,浦江仓
139,2026-03-15,C25- 6083,,BW008-7,,,"160ml cup&saucer 6set/color
box;unit:set",10,8,80,39,3120,60,38,28,0.06,21,0.64,210,6665202071322,,东阳仓
140,2026-03-15,C25- 6083,,BW20-120,,,"350ml mug 12pcs/inner box, Unit:pcs
11*8.4*10.5cm,3",10,48,480,3.8,1824,47,28,45,0.06,17.6,0.59,176,6665202112155,,3仓
141,2026-03-15,C25- 6083,,"MF- TN55M2-
Black-BS",,,"5L/4.08L Air
Fryer 1pcs/color box,
Unit:pcs",20,2,40,137,5480,64,41.5,38.5,0.10,11.5,2.05,230,6952020105347,,浦江仓
142,2026-03-15,C25- 6083,,2501-148,,,"Vacuum Cup 500ml Black Unit:PCS
8.8*17cm,312g",5,25,125,29.9,3737.5,48,48,18.5,0.04,10.5,0.21,52.5,6667202134427,,浦江仓
143,2026-03-15,C25- 6083,,LR-009H,,,"Drying rack
·18m total drying space
1565*620*2000",10,4,40,81.4,3256,111,35,65.5,0.25,17,2.54,170,6665202102354,,浦江仓
144,2026-03-15,C25- 6083,,LJT12-30-1,,,"30LTrash Can Egg
packing;Unit:PC
S",20,1,20,84.5,1690,33,32,67.5,0.07,3.78,1.43,75.6,6720220701887,,浦江仓
145,2026-03-15,C25- 6083,,LJT12-12-1,,,"12LTrash Can Egg packing;Unit:PC
S",10,4,40,47.4,1896,57.5,55,43.5,0.14,8,1.38,80,6720220701870,,东阳仓
146,2026-03-15,C25- 6083,,T01-42,,,"400ml Mug 12pcs/egg packing;unit:pcs
φ",10,48,480,4.3,2064,41.1,27.5,47,0.05,17.6,0.53,176,6665202060326,,浦江仓
147,2026-03-15,C25- 6083,,DH3661- BLACK,,,"Knife Set 3pcs 6set/inner box,Unit:SET
24cm",5,24,120,16,1920,46,36,27,0.04,16,0.22,80,6900202305429,,浦江仓
148,2026-03-15,C25- 6083,,DH3773- GREY,,,"Knife Set 3PCS 12set/inner box,Unit:SET
33.5cm,24cm,20",5,48,240,10.8,2592,43,37.5,35.5,0.06,13,0.29,65,6900202507724,,浦江仓
149,2026-03-15,C25- 6083,,DH3659- BLACK,,,"Knife Set 3pcs 12set/inner box,Unit:SET
21cm;24.5cm;30",5,72,360,12.9,4644,42,39,41,0.07,14.4,0.34,72,6900202305405,,浦江仓
150,2026-03-15,C25- 6083,,DH3644- BLACK,,,"Chef knife 8"" 12pcs/inner box,unit:pcs
32cm",3,72,216,6.7,1447.2,40,30,36,0.04,11.7,0.13,35.1,6900202305252,,浦江仓
151,2026-03-15,C25- 6083,,DH3645- BLACK,,,"Carving knife 8"" 12pcs/inner
box,unit:pcs
32.5cm",3,72,216,6.2,1339.2,40,30,37,0.04,10.4,0.13,31.2,6900202305269,,浦江仓
152,2026-03-15,C25- 6083,,DH3649- BLACK,,,"Utility knife 5"" 24pcs/inner box,unit:pcs
23cm",1,144,144,4.1,590.4,50,31,28,0.04,9.5,0.04,9.5,6900202305306,,浦江仓
